#TYPE System.Object
"dnshostname";"Major";"Minor";"Build";"Revision"
"VDLNC01591.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01592.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01733.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02075.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01734.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01645.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01646.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02359.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02077.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01648.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02078.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01647.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02079.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02080.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01649.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01685.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02419.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01686.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02083.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01876.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB038.nedcar.nl";;;;
"VDLNC01877.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00466.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00467.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02087.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00468.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01363.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00470.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01362.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01364.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00972.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00971.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02043.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02407.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00472.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02044.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00473.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00474.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01365.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01367.nedcar.nl";"Cannot connect";"";"";""
"VDLNCTB042.nedcar.nl";"5";"0";"10586";"122"
"VDLNC00478.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01953.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00481.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB011.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00482.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00484.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01879.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00485.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01372.nedcar.nl";"2";"0";"-1";"-1"
"VDLNC00486.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01373.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00487.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00488.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB017.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00489.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00491.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00492.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00493.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02048.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00494.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB016.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00495.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00496.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB018.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00497.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB035.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00498.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01965.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00500.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB012.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00501.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01653.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00503.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB013.nedcar.nl";"Cannot connect";"";"";""
"VDLNCTB014.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01652.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01158.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00398.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02366.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02427.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00984.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02428.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB003.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02431.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB050.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02111.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02112.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01716.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00450.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01044.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB030.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02435.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01717.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01562.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01560.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01563.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB015.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01564.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01565.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00762.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00387.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00510.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02227.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00511.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01051.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00514.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB020.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02281.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02282.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00516.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00518.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC10002.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02283.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00519.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02284.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00520.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00610.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02056.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02285.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00521.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC10003.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02286.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00522.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00612.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02058.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00523.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00524.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02287.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB047.nedcar.nl";"5";"0";"10586";"122"
"VDLNC00525.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01571.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02288.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB053.nedcar.nl";"5";"0";"10586";"122"
"VDLNC00526.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00765.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00527.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01721.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00528.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00617.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01402.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00529.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00620.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01403.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00530.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00768.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00531.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00621.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00532.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00622.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00953.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02231.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02234.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01061.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01676.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00534.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00539.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01850.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00779.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00541.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00780.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB021.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00542.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00781.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00956.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB022.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01573.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00545.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00546.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01574.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00547.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00626.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01408.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01724.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00548.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01409.nedcar.nl";;;;
"VDLNC00549.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01577.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00629.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB023.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00551.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00630.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01595.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00552.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00553.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01594.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00554.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01578.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00555.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00556.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00634.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00792.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01912.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00558.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00794.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00959.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01913.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00795.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00796.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00797.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01421.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00962.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02146.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02148.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02147.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02168.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01227.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01424.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02399.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02293.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02413.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02414.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02415.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB009.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02416.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02294.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01576.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02401.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01067.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00969.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00800.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00801.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00973.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01329.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01580.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01854.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00974.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01581.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01855.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00978.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02378.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00981.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01905.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02377.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00983.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01904.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02379.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02297.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02113.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02298.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01582.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01727.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02114.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01583.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02299.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00986.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01584.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02300.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02418.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02302.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02303.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00426.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00427.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02305.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00987.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01585.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00429.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01586.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00989.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00431.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01340.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01587.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00432.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00433.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00601.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01250.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01878.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01880.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01901.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00760.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00614.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00623.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00633.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00977.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00979.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00282.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00438.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00106T.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01277.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB054.nedcar.nl";"5";"0";"10586";"122"
"VDLNC00113.nedcar.nl";"Cannot connect";"";"";""
"VDLNC00435.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01588.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01589.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02267.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00437.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01055.nedcar.nl";"Cannot connect";"";"";""
"VDLNCTB001.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02024.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00442.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00443.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01343.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01864.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01865.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01866.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00988.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02060.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01867.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01868.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB055.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01869.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02381.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01870.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00992.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02132.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02133.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02434.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00994.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00995.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02385.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02136.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02138.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00943.nedcar.nl";"4";"0";"-1";"-1"
"VDLNCTB010.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02137.nedcar.nl";"5";"0";"10586";"117"
"VDLNCTB037.nedcar.nl";"Cannot connect";"";"";""
"VDLNC01419.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC01348.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02141.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02140.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00461.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC00975.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02143.nedcar.nl";"5";"0";"10586";"117"
"VDLNC00462.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02069.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02355.nedcar.nl";"Cannot connect";"";"";""
"VDLNC02070.nedcar.nl";"5";"0";"10586";"117"
"VDLNC02357.nedcar.nl";"5";"0";"10586";"117"
"VDLNC01590.nedcar.nl";"4";"0";"-1";"-1"
"VDLNC02358.nedcar.nl";"5";"0";"10586";"117"
