"Server","Scope","Subnet mask"	
dc07.nedcar.nl,10.30.20.0,255.255.255.0
dc07.nedcar.nl,10.30.38.0,255.255.254.0
dc07.nedcar.nl,10.30.48.0,255.255.240.0
dc07.nedcar.nl,10.30.80.0,255.255.255.0
dc07.nedcar.nl,10.30.81.0,255.255.255.0
dc07.nedcar.nl,10.30.92.0,255.255.252.0
dc07.nedcar.nl,10.30.109.0,255.255.255.0
dc07.nedcar.nl,10.30.112.0,255.255.255.0
dc07.nedcar.nl,10.30.113.0,255.255.255.0
dc07.nedcar.nl,10.30.114.0,255.255.255.0
dc07.nedcar.nl,10.30.115.0,255.255.255.0
dc07.nedcar.nl,10.30.118.0,255.255.255.0
dc07.nedcar.nl,10.30.128.0,255.255.255.0
dc07.nedcar.nl,10.30.130.0,255.255.254.0
dc07.nedcar.nl,10.30.132.0,255.255.254.0
dc07.nedcar.nl,10.178.0.0,255.255.248.0
dc07.nedcar.nl,10.178.10.0,255.255.254.0
dc07.nedcar.nl,10.178.87.0,255.255.255.0
dc07.nedcar.nl,172.18.0.0,255.255.0.0
dc07.nedcar.nl,172.21.2.0,255.255.255.0
dc07.nedcar.nl,172.21.4.0,255.255.255.0
dc07.nedcar.nl,192.168.31.0,255.255.255.0
dc07.nedcar.nl,192.168.90.0,255.255.255.0
dc07.nedcar.nl,192.168.96.0,255.255.255.240
dc07.nedcar.nl,192.168.162.0,255.255.255.0
dc07.nedcar.nl,192.168.231.0,255.255.255.0
dc07.nedcar.nl,192.168.240.0,255.255.255.0
dc08.nedcar.nl,10.30.20.0,255.255.255.0
dc08.nedcar.nl,10.30.38.0,255.255.254.0
dc08.nedcar.nl,10.30.48.0,255.255.240.0
dc08.nedcar.nl,10.30.80.0,255.255.255.0
dc08.nedcar.nl,10.30.81.0,255.255.255.0
dc08.nedcar.nl,10.30.92.0,255.255.252.0
dc08.nedcar.nl,10.30.109.0,255.255.255.0
dc08.nedcar.nl,10.30.112.0,255.255.255.0
dc08.nedcar.nl,10.30.113.0,255.255.255.0
dc08.nedcar.nl,10.30.114.0,255.255.255.0
dc08.nedcar.nl,10.30.115.0,255.255.255.0
dc08.nedcar.nl,10.30.118.0,255.255.255.0
dc08.nedcar.nl,10.30.128.0,255.255.255.0
dc08.nedcar.nl,10.30.132.0,255.255.254.0
dc08.nedcar.nl,10.178.0.0,255.255.248.0
dc08.nedcar.nl,10.178.10.0,255.255.254.0
dc08.nedcar.nl,10.178.87.0,255.255.255.0
dc08.nedcar.nl,172.18.0.0,255.255.0.0
dc08.nedcar.nl,172.21.2.0,255.255.255.0
dc08.nedcar.nl,172.21.4.0,255.255.255.0
dc08.nedcar.nl,192.168.31.0,255.255.255.0
dc08.nedcar.nl,192.168.90.0,255.255.255.0
dc08.nedcar.nl,192.168.96.0,255.255.255.240
dc08.nedcar.nl,192.168.162.0,255.255.255.0
dc08.nedcar.nl,192.168.231.0,255.255.255.0
dc08.nedcar.nl,192.168.240.0,255.255.255.0
