"Systemname","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Creator","Schedule","Task To Run","Start In","Comment","Scheduled Task State","Scheduled Type","Start Time","Start Date","End Date","Days","Months","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Repeat Every","Repeat Until Time","Repeat Until Duration","Repeat Stop If Still Running","Idle Time","Power Management"
"S101","Automatische reboot","23:00:00, 12-2-2011","","Interactive/Background","23:00:00, 5-2-2011","0","Adm1","At 23:00 every Sat of every week, starting 27-11-2007","C:\Scripts\Acties\shutdown.cmd ","C:\Scripts\Acties\","Automatische wekelijkse reboot.","Enabled","Weekly","23:00:00","27-11-2007","N/A","SATURDAY","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled"
"S101","IBBACKUP","23:30:00, 8-2-2011","","Interactive/Background","23:30:00, 7-2-2011","0","adm1","At 23:30 every day, starting 21-8-2003","C:\Scripts\IBBACKUP.bat ","C:\Scripts","N/A","Enabled","Daily ","23:30:00","21-8-2003","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S101","Std-Cleanup","5:00:00, 9-2-2011","","Interactive/Background","5:00:00, 8-2-2011","0","Adm1","At 5:00 every day, starting 19-3-2009","C:\Scripts\Acties\cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Daily ","5:00:00","19-3-2009","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S101","Std-MOM-Snooze","Never","","Interactive/Background","Never","0","Adm1","At 0:00 on 19-3-2009","C:\Scripts\Acties\MOMAgentSnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","19-3-2009","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S101","STD-SysInfo","22:00:00, 8-2-2011","","Interactive/Background","22:00:01, 7-2-2011","0","Scheduler","At 22:00 every day, starting 28-1-2011","C:\Scripts\Secdump\SysInfo\SysInfo.cmd ","C:\Scripts\Secdump\SysInfo","NC Standard System info logging","Enabled","Daily ","22:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","2:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S103","Automatische reboot","23:05:00, 12-2-2011","","Interactive/Background","23:05:00, 5-2-2011","0","Q055817","At 23:05 every Sat of every week, starting 6-1-2009","C:\Scripts\Acties\shutdown.cmd ","C:\Scripts\Acties","Auto reboot","Enabled","Weekly","23:05:00","6-1-2009","N/A","SATURDAY","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled"
"S103","Std-Cleanup","5:00:00, 9-2-2011","","Interactive/Background","5:00:00, 8-2-2011","0","Adm1","At 5:00 every day, starting 19-3-2009","C:\Scripts\Acties\cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Daily ","5:00:00","19-3-2009","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S103","Std-MOM-Snooze","Never","","Interactive/Background","Never","0","Adm1","At 0:00 on 19-3-2009","C:\Scripts\Acties\MOMAgentSnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","19-3-2009","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S103","STD-SysInfo","22:00:00, 8-2-2011","","Interactive/Background","22:00:00, 7-2-2011","0","Scheduler","At 22:00 every day, starting 28-1-2011","C:\Scripts\Secdump\SysInfo\SysInfo.cmd ","C:\Scripts\Secdump\SysInfo","NC Standard System info logging","Enabled","Daily ","22:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","2:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S105","Automatische reboot","0:15:00, 12-2-2011","","Interactive/Background","0:15:00, 5-2-2011","0","adm1","At 0:15 every Sat of every week, starting 22-5-2008","C:\Scripts\Acties\shutdown.cmd ","C:\Scripts\Acties","N/A","Enabled","Weekly","0:15:00","22-5-2008","N/A","SATURDAY","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S105","ren_image","Disabled","","Interactive/Background","16:00:00, 4-6-2006","0","citrix_scheduler","Disabled","D:\Pxes\ren_image.cmd ","D:\Pxes","N/A","Disabled","One Time Only","16:00:00","4-6-2006","N/A","N/A","N/A","NEDCAR\citrix_scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
