"HostName";"TaskName";"Next Run Time";"Status";"Logon Mode";"Last Run Time";"Last Result";"Author";"Task To Run";"Start In";"Comment";"Scheduled Task State";"Idle Time";"Power Management";"Run As User";"Delete Task If Not Rescheduled";"Stop Task If Runs X Hours and X Mins";"Schedule";"Schedule Type";"Start Time";"Start Date";"End Date";"Days";"Months";"Repeat: Every";"Repeat: Until: Time";"Repeat: Until: Duration";"Repeat: Stop If Still Running"
"DC07";"\Optimize Start Menu Cache Files-S-1-5-21-8915387-1091650625-1897138802-1017";"N/A";"Ready";"Interactive only";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"This idle task reorganizes the cache files used to display the start menu. It is enabled only when the cache files are not optimally organized.";"Enabled";"Only Start If Idle for 0 minutes, If Not Idle Retry For 0 minutes";"";"adm1";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At idle time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Optimize Start Menu Cache Files-S-1-5-21-8915387-1091650625-1897138802-25256";"N/A";"Ready";"Interactive only";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"This idle task reorganizes the cache files used to display the start menu. It is enabled only when the cache files are not optimally organized.";"Enabled";"Only Start If Idle for 0 minutes, If Not Idle Retry For 0 minutes";"";"PBE1977";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At idle time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\STD-DHCP dump";"30-4-2014 06:00:00";"Ready";"Interactive/Background";"29-4-2014 06:00:01";"0";"NEDCAR\adm1";"D:\DHCP\Export-DHCP\Export-DHCP.cmd ";"N/A";"N/A";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"NEDCAR\Scheduler";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Daily ";"06:00:00";"11-2-2014";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\VNB-Cleanup files";"30-4-2014 05:00:00";"Ready";"Interactive/Background";"29-4-2014 05:00:00";"0";"NEDCAR\adm1";"C:\Scripts\Acties\cleanup.cmd ";"N/A";"Nedcar standard file cleanup";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"Disabled";"Scheduling data is not available in this format.";"Daily ";"05:00:00";"30-10-2013";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\VNB-System configuration check";"29-4-2014 20:00:00";"Ready";"Interactive/Background";"28-4-2014 20:00:00";"0";"NEDCAR\adm1";"C:\Scripts\Acties\ncstd-config.cmd ";"N/A";"Nedcar standard server configuration";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"Daily ";"20:00:00";"30-10-2013";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\VNB-System configuration info";"29-4-2014 22:00:00";"Ready";"Interactive/Background";"28-4-2014 22:00:00";"0";"NEDCAR\adm1";"C:\Scripts\Secdump\SysInfo\SysInfo.cmd ";"N/A";"Nedcar standard system information log";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"Daily ";"22:00:00";"30-10-2013";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\VNB-Weekly reboot task";"3-5-2014 02:15:00";"Ready";"Interactive/Background";"26-4-2014 02:15:00";"0";"NEDCAR\adm1";"C:\Scripts\Acties\shutdown.cmd ";"N/A";"VDL Nedcar weekly planned reboot scheduled task";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Weekly";"02:15:00";"30-10-2013";"N/A";"SAT";"Every 1 week(s)";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\Wekelijkse Reboot";"3-5-2014 02:15:00";"Ready";"Interactive/Background";"26-4-2014 02:15:00";"0";"NEDCAR\adm1";"C:\Scripts\Acties\shutdown.cmd ";"N/A";"N/A";"Enabled";"Disabled";"Stop On Battery Mode";"NEDCAR\Scheduler";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"Weekly";"02:15:00";"13-1-2014";"N/A";"SAT";"Every 1 week(s)";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\Microsoft\Configuration Manager\Configuration Manager Health Evaluation";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"Microsoft";"C:\Windows\CCM\ccmeval.exe ";"N/A";"N/A";"Enabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Configuration Manager\Configuration Manager Maintenance";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"267014";"Microsoft";"COM handler";"N/A";"Configuration Manager Task";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
