20080219-080831 : Mandatory attributes:
20080219-080831 : 	1	cn	(Syntax: DirectoryString) Single-valued
20080219-080831 : 	2	instanceType	(Syntax: INTEGER) Single-valued
20080219-080831 : 	3	nTSecurityDescriptor	(Syntax: ObjectSecurityDescriptor) Single-valued
20080219-080831 : 	4	objectCategory	(Syntax: DN) Single-valued
20080219-080831 : 	5	objectClass	(Syntax: OID) Multivalued
20080219-080831 : 	6	objectSid	(Syntax: OctetString) Single-valued
20080219-080831 : 	7	sAMAccountName	(Syntax: DirectoryString) Single-valued
20080219-080831 : Optional attributes:
20080219-080831 : 	8	accountExpires	 [Syntax: INTEGER8]	 Single-valued
20080219-080831 : 	9	accountNameHistory	 [Syntax: DirectoryString]	 Multivalued
20080219-080831 : 	10	aCSPolicyName	 [Syntax: DirectoryString]	 Single-valued
20080219-080831 : 	11	adminCount	 [Syntax: INTEGER]	 Single-valued
20080219-080831 : 	12	adminDescription	 [Syntax: DirectoryString]	 Single-valued
20080219-080831 : 	13	adminDisplayName	 [Syntax: DirectoryString]	 Single-valued
20080219-080831 : 	14	allowedAttributes	 [Syntax: OID]	 Multivalued
20080219-080831 : 	15	allowedAttributesEffective	 [Syntax: OID]	 Multivalued
20080219-080831 : 	16	allowedChildClasses	 [Syntax: OID]	 Multivalued
20080219-080831 : 	17	allowedChildClassesEffective	 [Syntax: OID]	 Multivalued
20080219-080831 : 	18	altSecurityIdentities	 [Syntax: DirectoryString]	 Multivalued
20080219-080831 : 	19	assistant	 [Syntax: DN]	 Single-valued
20080219-080831 : 	20	attributeCertificateAttribute	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	21	audio	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	22	badPasswordTime	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	23	badPwdCount	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	24	bridgeheadServerListBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	25	businessCategory	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	26	c	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	27	canonicalName	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	28	carLicense	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	29	catalogs	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	30	co	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	31	codePage	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	32	comment	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	33	company	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	34	controlAccessRights	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	35	countryCode	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	36	createTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080832 : 	37	dBCSPwd	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	38	defaultClassStore	 [Syntax: DN]	 Multivalued
20080219-080832 : 	39	defaultLocalPolicyObject	 [Syntax: DN]	 Single-valued
20080219-080832 : 	40	department	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	41	departmentNumber	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	42	description	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	43	desktopProfile	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	44	destinationIndicator	 [Syntax: PrintableString]	 Multivalued
20080219-080832 : 	45	directReports	 [Syntax: DN]	 Multivalued
20080219-080832 : 	46	displayName	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	47	displayNamePrintable	 [Syntax: PrintableString]	 Single-valued
20080219-080832 : 	48	distinguishedName	 [Syntax: DN]	 Single-valued
20080219-080832 : 	49	division	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	50	dNSHostName	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	51	dSASignature	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	52	dSCorePropagationData	 [Syntax: GeneralizedTime]	 Multivalued
20080219-080832 : 	53	dynamicLDAPServer	 [Syntax: DN]	 Single-valued
20080219-080832 : 	54	employeeID	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	55	employeeNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	56	employeeType	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	57	extensionName	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	58	facsimileTelephoneNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	59	flags	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	60	fromEntry	 [Syntax: Boolean]	 Multivalued
20080219-080832 : 	61	frsComputerReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	62	fRSMemberReferenceBL	 [Syntax: DN]	 Multivalued
