20080219-080637 : Mandatory attributes:
20080219-080637 : 	1	cn	(Syntax: DirectoryString) Single-valued
20080219-080637 : 	2	groupType	(Syntax: INTEGER) Single-valued
20080219-080637 : 	3	instanceType	(Syntax: INTEGER) Single-valued
20080219-080637 : 	4	nTSecurityDescriptor	(Syntax: ObjectSecurityDescriptor) Single-valued
20080219-080637 : 	5	objectCategory	(Syntax: DN) Single-valued
20080219-080637 : 	6	objectClass	(Syntax: OID) Multivalued
20080219-080637 : 	7	objectSid	(Syntax: OctetString) Single-valued
20080219-080637 : 	8	sAMAccountName	(Syntax: DirectoryString) Single-valued
20080219-080637 : Optional attributes:
20080219-080637 : 	9	accountNameHistory	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	10	adminCount	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	11	adminDescription	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	12	adminDisplayName	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	13	allowedAttributes	 [Syntax: OID]	 Multivalued
20080219-080637 : 	14	allowedAttributesEffective	 [Syntax: OID]	 Multivalued
20080219-080637 : 	15	allowedChildClasses	 [Syntax: OID]	 Multivalued
20080219-080637 : 	16	allowedChildClassesEffective	 [Syntax: OID]	 Multivalued
20080219-080637 : 	17	altSecurityIdentities	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	18	bridgeheadServerListBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	19	canonicalName	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	20	controlAccessRights	 [Syntax: OctetString]	 Multivalued
20080219-080637 : 	21	createTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080637 : 	22	description	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	23	desktopProfile	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	24	directReports	 [Syntax: DN]	 Multivalued
20080219-080637 : 	25	displayName	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	26	displayNamePrintable	 [Syntax: PrintableString]	 Single-valued
20080219-080637 : 	27	distinguishedName	 [Syntax: DN]	 Single-valued
20080219-080637 : 	28	dSASignature	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	29	dSCorePropagationData	 [Syntax: GeneralizedTime]	 Multivalued
20080219-080637 : 	30	extensionName	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	31	flags	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	32	fromEntry	 [Syntax: Boolean]	 Multivalued
20080219-080637 : 	33	frsComputerReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	34	fRSMemberReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	35	fSMORoleOwner	 [Syntax: DN]	 Single-valued
20080219-080637 : 	36	garbageCollPeriod	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	37	groupAttributes	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	38	groupMembershipSAM	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	39	info	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	40	isCriticalSystemObject	 [Syntax: Boolean]	 Single-valued
20080219-080637 : 	41	isDeleted	 [Syntax: Boolean]	 Single-valued
20080219-080637 : 	42	isPrivilegeHolder	 [Syntax: DN]	 Multivalued
20080219-080637 : 	43	labeledURI	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	44	lastKnownParent	 [Syntax: DN]	 Single-valued
20080219-080637 : 	45	legacyExchangeDN	 [Syntax: CaseIgnoreString]	 Single-valued
20080219-080637 : 	46	mail	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	47	managedBy	 [Syntax: DN]	 Single-valued
20080219-080637 : 	48	managedObjects	 [Syntax: DN]	 Multivalued
20080219-080637 : 	49	masteredBy	 [Syntax: DN]	 Multivalued
20080219-080637 : 	50	member	 [Syntax: DN]	 Multivalued
20080219-080637 : 	51	memberOf	 [Syntax: DN]	 Multivalued
20080219-080637 : 	52	modifyTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080637 : 	53	mS-DS-ConsistencyChildCount	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	54	mS-DS-ConsistencyGuid	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	55	msCOM-PartitionSetLink	 [Syntax: DN]	 Multivalued
20080219-080637 : 	56	msCOM-UserLink	 [Syntax: DN]	 Multivalued
20080219-080637 : 	57	msDS-Approx-Immed-Subordinates	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	58	msDS-AzLDAPQuery	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	59	msDS-KeyVersionNumber	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	60	msDs-masteredBy	 [Syntax: DN]	 Multivalued
20080219-080637 : 	61	msDS-MembersForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	62	msDS-NCReplCursors	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	63	msDS-NCReplInboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	64	msDS-NCReplOutboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	65	msDS-NonMembers	 [Syntax: DN]	 Multivalued
20080219-080637 : 	66	msDS-NonMembersBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	67	msDS-ObjectReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	68	msDS-OperationsForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	69	msDS-OperationsForAzTaskBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	70	msDS-ReplAttributeMetaData	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	71	msDS-ReplValueMetaData	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	72	msDS-TasksForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	73	msDS-TasksForAzTaskBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	74	msExchAssistantName	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	75	msExchLabeledURI	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	76	name	 [Syntax: DirectoryString]	 Single-valued
20080219-080637 : 	77	netbootSCPBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	78	nonSecurityMember	 [Syntax: DN]	 Multivalued
20080219-080637 : 	79	nonSecurityMemberBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	80	nTGroupMembers	 [Syntax: OctetString]	 Multivalued
20080219-080637 : 	81	objectGUID	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	82	objectVersion	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	83	operatorCount	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	84	otherWellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20080219-080637 : 	85	ownerBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	86	partialAttributeDeletionList	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	87	partialAttributeSet	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	88	possibleInferiors	 [Syntax: OID]	 Multivalued
20080219-080637 : 	89	primaryGroupToken	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	90	proxiedObjectName	 [Syntax: DNWithBinary]	 Single-valued
20080219-080637 : 	91	proxyAddresses	 [Syntax: DirectoryString]	 Multivalued
20080219-080637 : 	92	queryPolicyBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	93	replPropertyMetaData	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	94	replUpToDateVector	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	95	repsFrom	 [Syntax: OctetString]	 Multivalued
20080219-080637 : 	96	repsTo	 [Syntax: OctetString]	 Multivalued
20080219-080637 : 	97	revision	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	98	rid	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	99	sAMAccountType	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	100	sDRightsEffective	 [Syntax: INTEGER]	 Single-valued
20080219-080637 : 	101	secretary	 [Syntax: DN]	 Multivalued
20080219-080637 : 	102	securityIdentifier	 [Syntax: OctetString]	 Single-valued
20080219-080637 : 	103	serverReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	104	showInAddressBook	 [Syntax: DN]	 Multivalued
20080219-080637 : 	105	showInAdvancedViewOnly	 [Syntax: Boolean]	 Single-valued
20080219-080637 : 	106	sIDHistory	 [Syntax: OctetString]	 Multivalued
20080219-080637 : 	107	siteObjectBL	 [Syntax: DN]	 Multivalued
20080219-080637 : 	108	structuralObjectClass	 [Syntax: OID]	 Multivalued
20080219-080638 : 	109	subRefs	 [Syntax: DN]	 Multivalued
20080219-080638 : 	110	subSchemaSubEntry	 [Syntax: DN]	 Multivalued
20080219-080638 : 	111	supplementalCredentials	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	112	systemFlags	 [Syntax: INTEGER]	 Single-valued
20080219-080638 : 	113	telephoneNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080638 : 	114	textEncodedORAddress	 [Syntax: DirectoryString]	 Single-valued
20080219-080638 : 	115	tokenGroups	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	116	tokenGroupsGlobalAndUniversal	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	117	tokenGroupsNoGCAcceptable	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	118	url	 [Syntax: DirectoryString]	 Multivalued
20080219-080638 : 	119	userCert	 [Syntax: OctetString]	 Single-valued
20080219-080638 : 	120	userCertificate	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	121	userSMIMECertificate	 [Syntax: OctetString]	 Multivalued
20080219-080638 : 	122	uSNChanged	 [Syntax: INTEGER8]	 Single-valued
20080219-080638 : 	123	uSNCreated	 [Syntax: INTEGER8]	 Single-valued
20080219-080638 : 	124	uSNDSALastObjRemoved	 [Syntax: INTEGER8]	 Single-valued
20080219-080638 : 	125	USNIntersite	 [Syntax: INTEGER]	 Single-valued
20080219-080638 : 	126	uSNLastObjRem	 [Syntax: INTEGER8]	 Single-valued
20080219-080638 : 	127	uSNSource	 [Syntax: INTEGER8]	 Single-valued
20080219-080638 : 	128	wbemPath	 [Syntax: DirectoryString]	 Multivalued
20080219-080638 : 	129	wellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20080219-080638 : 	130	whenChanged	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080638 : 	131	whenCreated	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080638 : 	132	wWWHomePage	 [Syntax: DirectoryString]	 Single-valued
