20090327-080859 : Mandatory attributes:
20090327-080859 : 	1	cn	(Syntax: DirectoryString) Single-valued
20090327-080859 : 	2	instanceType	(Syntax: INTEGER) Single-valued
20090327-080859 : 	3	nTSecurityDescriptor	(Syntax: ObjectSecurityDescriptor) Single-valued
20090327-080859 : 	4	objectCategory	(Syntax: DN) Single-valued
20090327-080859 : 	5	objectClass	(Syntax: OID) Multivalued
20090327-080859 : 	6	objectSid	(Syntax: OctetString) Single-valued
20090327-080859 : 	7	sAMAccountName	(Syntax: DirectoryString) Single-valued
20090327-080859 : Optional attributes:
20090327-080859 : 	8	accountExpires	 [Syntax: INTEGER8]	 Single-valued
20090327-080859 : 	9	accountNameHistory	 [Syntax: DirectoryString]	 Multivalued
20090327-080859 : 	10	aCSPolicyName	 [Syntax: DirectoryString]	 Single-valued
20090327-080859 : 	11	adminCount	 [Syntax: INTEGER]	 Single-valued
20090327-080859 : 	12	adminDescription	 [Syntax: DirectoryString]	 Single-valued
20090327-080859 : 	13	adminDisplayName	 [Syntax: DirectoryString]	 Single-valued
20090327-080859 : 	14	allowedAttributes	 [Syntax: OID]	 Multivalued
20090327-080859 : 	15	allowedAttributesEffective	 [Syntax: OID]	 Multivalued
20090327-080859 : 	16	allowedChildClasses	 [Syntax: OID]	 Multivalued
20090327-080859 : 	17	allowedChildClassesEffective	 [Syntax: OID]	 Multivalued
20090327-080859 : 	18	altSecurityIdentities	 [Syntax: DirectoryString]	 Multivalued
20090327-080859 : 	19	assistant	 [Syntax: DN]	 Single-valued
20090327-080859 : 	20	attributeCertificateAttribute	 [Syntax: OctetString]	 Multivalued
20090327-080900 : 	21	audio	 [Syntax: OctetString]	 Multivalued
20090327-080900 : 	22	badPasswordTime	 [Syntax: INTEGER8]	 Single-valued
20090327-080900 : 	23	badPwdCount	 [Syntax: INTEGER]	 Single-valued
20090327-080900 : 	24	bridgeheadServerListBL	 [Syntax: DN]	 Multivalued
20090327-080900 : 	25	businessCategory	 [Syntax: DirectoryString]	 Multivalued
20090327-080900 : 	26	c	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	27	canonicalName	 [Syntax: DirectoryString]	 Multivalued
20090327-080900 : 	28	carLicense	 [Syntax: DirectoryString]	 Multivalued
20090327-080900 : 	29	co	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	30	codePage	 [Syntax: INTEGER]	 Single-valued
20090327-080900 : 	31	comment	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	32	company	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	33	controlAccessRights	 [Syntax: OctetString]	 Multivalued
20090327-080900 : 	34	countryCode	 [Syntax: INTEGER]	 Single-valued
20090327-080900 : 	35	createTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20090327-080900 : 	36	dBCSPwd	 [Syntax: OctetString]	 Single-valued
20090327-080900 : 	37	defaultClassStore	 [Syntax: DN]	 Multivalued
20090327-080900 : 	38	department	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	39	departmentNumber	 [Syntax: DirectoryString]	 Multivalued
20090327-080900 : 	40	description	 [Syntax: DirectoryString]	 Multivalued
20090327-080900 : 	41	desktopProfile	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	42	destinationIndicator	 [Syntax: PrintableString]	 Multivalued
20090327-080900 : 	43	directReports	 [Syntax: DN]	 Multivalued
20090327-080900 : 	44	displayName	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	45	displayNamePrintable	 [Syntax: PrintableString]	 Single-valued
20090327-080900 : 	46	distinguishedName	 [Syntax: DN]	 Single-valued
20090327-080900 : 	47	division	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	48	dSASignature	 [Syntax: OctetString]	 Single-valued
20090327-080900 : 	49	dSCorePropagationData	 [Syntax: GeneralizedTime]	 Multivalued
20090327-080900 : 	50	dynamicLDAPServer	 [Syntax: DN]	 Single-valued
20090327-080900 : 	51	employeeID	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	52	employeeNumber	 [Syntax: DirectoryString]	 Single-valued
20090327-080900 : 	53	employeeType	 [Syntax: DirectoryString]	 Single-valued
