ActiveTime,ClientType,ComputerName,Description,IdleTime,InstallDate,Name,ResourcesOpened,SessionType,Status,TransportName,UserName
59075,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",5,2,"","\Device\NetbiosSmb","WME1741",
35950,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",685,,"",5,2,"","\Device\NetbiosSmb","WB79056",
23591,"Windows 2002 Service Pack 3 2600","B426","",316,,"",2,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","MDE1926",
54909,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",4,2,"","\Device\NetbiosSmb","HH78284",
52815,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",0,,"",16,2,"","\Device\NetbiosSmb","PL76850",
49331,"Windows 2002 Service Pack 2 2600","172.18.10.175","",1038,,"",2,2,"","\Device\NetbiosSmb","Q055973",
39179,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",0,,"",6,2,"","\Device\NetbiosSmb","EB78377",
27988,"Windows 2000 2195","B8DF","",6618,,"",1,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","JJ77164",
41720,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",6,2,"","\Device\NetbiosSmb","AK39752",
40917,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",5,2,"","\Device\NetbiosSmb","PB79921",
32990,"Windows Server 2003 3790 Service Pack 1","VCS022","",1282,,"",4,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","BH78630",
24148,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",14,2,"","\Device\NetbiosSmb","LB39374",
23737,"Windows 2000 2195","172.18.16.150","",138,,"",0,2,"","\Device\NetbiosSmb","Q053921",
13111,"Windows Server 2003 3790 Service Pack 1","S136","",7572,,"",2,2,"","\Device\NetBT_Tcpip_{836A9829-3C42-4B82-AF3B-00A2E4A58DD0}","Q055940",
10529,"Windows Server 2003 3790 Service Pack 1","172.18.128.25","",0,,"",15,2,"","\Device\NetbiosSmb","JE75908",
